ncrna,TCGA.A4.7287,TCGA.A4.7583,TCGA.A4.7584,TCGA.A4.7734,TCGA.A4.7828,TCGA.A4.7915,TCGA.A4.7996,TCGA.A4.7997,TCGA.A4.8098,TCGA.A4.8311,TCGA.A4.8312,TCGA.A4.8515,TCGA.A4.8517,TCGA.A4.8518,TCGA.A4.8630,TCGA.A4.A48D,TCGA.A4.A4ZT,TCGA.A4.A5DU,TCGA.A4.A5XZ,TCGA.A4.A5Y0,TCGA.A4.A6HP,TCGA.A4.A772,TCGA.AL.3468,TCGA.AL.3471,TCGA.AL.3473,TCGA.AT.A5NU,TCGA.B1.7332,TCGA.B1.A47N,TCGA.B1.A47O,TCGA.B1.A654,TCGA.B1.A655,TCGA.B1.A656,TCGA.B1.A657,TCGA.B3.3926,TCGA.B3.4103,TCGA.B3.4104,TCGA.B3.8121,TCGA.B3.A6W5,TCGA.B9.4113,TCGA.B9.4115,TCGA.B9.7268,TCGA.B9.A5W7,TCGA.B9.A5W8,TCGA.B9.A5W9,TCGA.BQ.5876,TCGA.BQ.5881,TCGA.BQ.5883,TCGA.BQ.5884,TCGA.BQ.5888,TCGA.BQ.5892,TCGA.BQ.7045,TCGA.BQ.7046,TCGA.BQ.7049,TCGA.BQ.7050,TCGA.BQ.7051,TCGA.BQ.7055,TCGA.BQ.7059,TCGA.BQ.7060,TCGA.BQ.7061,TCGA.BQ.7062,TCGA.DW.5560,TCGA.DW.5561,TCGA.DW.7834,TCGA.DW.7836,TCGA.DW.7837,TCGA.DW.7838,TCGA.DW.7839,TCGA.DW.7840,TCGA.DW.7841,TCGA.DW.7842,TCGA.DW.7963,TCGA.DZ.6132,TCGA.DZ.6133,TCGA.DZ.6134,TCGA.DZ.6135,TCGA.EV.5901,TCGA.EV.5902,TCGA.EV.5903,TCGA.F9.A7VF,TCGA.G7.6790,TCGA.G7.6792,TCGA.G7.6795,TCGA.G7.6796,TCGA.G7.7502,TCGA.G7.A4TM,TCGA.GL.7773,TCGA.GL.8500,TCGA.GL.A4EM,TCGA.GL.A59T,TCGA.HE.7128,TCGA.HE.7129,TCGA.HE.A5NF,TCGA.HE.A5NH,TCGA.HE.A5NI,TCGA.HE.A5NL,TCGA.IA.A40X,TCGA.IA.A83V,TCGA.IA.A83W,TCGA.IZ.8195,TCGA.IZ.8196,TCGA.IZ.A6M8,TCGA.IZ.A6M9,TCGA.J7.6720,TCGA.KV.A6GD,TCGA.KV.A6GE,TCGA.KV.A74V,TCGA.MH.A55W,TCGA.MH.A55Z,TCGA.MH.A560,TCGA.MH.A561,TCGA.MH.A562,TCGA.MH.A854,TCGA.MH.A855,TCGA.MH.A856,TCGA.MH.A857,TCGA.O9.A75Z,TCGA.P4.A5E7,TCGA.P4.A5EB,TCGA.P4.A5ED,TCGA.PJ.A5Z8,TCGA.PJ.A5Z9,TCGA.SX.A71R,TCGA.SX.A71S,TCGA.SX.A71U,TCGA.SX.A71V,TCGA.SX.A71W,TCGA.SX.A7SL,TCGA.SX.A7SN,TCGA.SX.A7SO,TCGA.SX.A7SP,TCGA.V9.A7HT,TCGA.Y8.A898
ENSG00000130600,4.83,4.332,1.398,3.712,9.288,1.151,0.884,1.326,1.813,0.782,3.004,1.803,1.195,2.468,3.638,1.077,1.83,3.314,5.558,4.995,1.558,2.157,2.715,0.408,0.708,1.808,3.868,2.969,2.434,0.796,4.28,5.621,4.773,1.527,2.413,10.103,2.655,4.262,0.76,1.501,1.119,2.543,0.462,3.388,4.098,4.236,2.188,3.297,2.577,4.922,4.771,2.348,1.775,3.925,2.118,3.524,1.051,2.649,3.959,0.86,1.644,3.652,1.882,2.17,2.968,3.87,2.016,5.063,2.193,2.635,4.149,1.512,2.53,3.391,2.097,1.525,1.629,4.598,2.439,4.988,2.969,3.876,2.094,2.803,1.722,1.935,1.637,3.526,4.124,2.249,3.772,0.958,0.959,3.311,2.26,4.892,3.317,1.819,2.5,1.547,1.336,0.073,1.746,3.618,1.022,2.027,3.17,1.934,3.195,2.722,3.405,3.478,3.388,2.944,6.106,2.101,3.151,2.788,1.472,0.999,2.28,2.876,0.798,1.865,4.284,3.832,2.295,3.537,4.714,2.197,1.916,2.112
ENSG00000135253,0.533,1.147,2.908,2.368,0.876,0.471,2.287,2.602,2.696,3.556,2.537,1.582,2.488,1.176,3.561,1.207,3.676,4.104,3.124,2.231,3.061,2.965,3.196,3.115,0.145,2.976,1.3,2.676,2.667,3.005,0.851,1.718,2.791,1.519,3.432,1.474,2.368,2.827,2.893,2.09,2.488,2.115,1.523,1.584,0.112,1.474,1.229,1.633,1.712,0.163,2.158,3.057,1.597,3.769,2.531,0.365,1.909,2.005,3.024,2.818,4.466,3.122,1.455,1.733,2.01,1.208,0.989,2.751,2.223,3.144,2.246,1.262,3.219,1.187,1.644,2.51,1.822,1.803,2.555,1.352,0.685,2.461,1.541,2.335,3.079,2.113,2.318,1.059,1.983,1.563,2.261,2.736,1.792,3.953,3.865,3.146,2.435,2.536,1.568,3.149,1.908,3.58,0.862,1.757,3.282,2.51,3.087,3.171,1.611,2.544,2.211,1.544,2.857,2.478,2.973,2.833,2.957,1.251,1.367,1.544,2.848,5.236,4.12,3.886,4.304,1.881,1.399,2.969,3.695,4.049,3.059,2.433
ENSG00000163364,2.07,0.402,0.038,0.923,3.493,2.504,0.082,1.323,2.57,0.795,4.963,1.942,0.107,0.89,0.011,0.373,2.928,1.312,0.055,0.869,1.019,1.567,0.051,0.867,0.577,1.841,0.234,1.199,1.86,0.237,0.113,2.038,2.05,2.727,1.009,0.669,0.661,0.149,1.185,1.71,0.034,0.894,1.593,0.729,0.826,0.22,3.119,0.149,3.902,0.794,0.151,0.893,2.459,1.148,0.347,0.454,1.499,0.075,0.933,0.693,0.166,0.38,1.019,0.466,0.902,1.576,2.518,0.602,0.994,2.097,0.467,0.517,0.131,1.933,0.369,0.159,3.254,1.509,0.291,0.097,1.714,1.804,0.401,0.239,0.869,2.94,2.441,0.595,0.132,0.532,0.67,2.385,1.422,2.249,1.522,0.673,0.89,2.18,0.07,0.337,0.95,0.149,0.818,1.498,3.131,3.143,1.272,0.514,0.1,0.824,0.116,1.539,1.374,2.354,4.378,0.443,1.479,2.443,2.572,2.636,2.865,0.33,0.23,1.971,2.852,0.809,2.388,0.938,0.485,0.157,1.387,1.816
ENSG00000166770,3.215,3.019,2.599,0.551,2.864,2.467,0.228,2.348,1.987,2.525,3.677,2.244,1.991,2.113,2.892,2.748,0.228,0.109,0.314,2.125,2.758,1.746,0.149,2.582,0.752,2.95,1.536,2.278,2.942,1.615,2.284,0.791,0.932,0.086,2.247,0.504,0.661,2.975,3.187,3.103,3.091,0.312,1.77,3.26,1.466,1.132,3.54,2.208,0.189,0.514,2.607,0.191,2.769,3.164,0.083,2.996,2.35,0.865,0.422,2.83,0.194,0.126,0.706,2.706,2.53,2.501,4.055,2.497,2.481,3.011,1.676,2.648,0.448,1.772,3.099,1.91,1.925,2.712,2.958,0.257,3.421,0.249,2.124,2.793,2.95,3.766,3.084,2.16,0.143,1.67,0.092,0.31,0.352,2.26,1.688,3.166,1.519,2.672,1.604,1.132,1.561,0.573,1.932,1.268,0.354,0.247,0.157,1.591,0.894,1.866,2.689,2.943,2.732,2.719,3.939,2.419,2.758,0.228,2.43,2.086,0.298,0.241,3.23,0.215,0.264,0.534,0.849,2.613,0.239,0.448,2.091,1.525
ENSG00000174171,1.644,3.74,3.917,1.585,1.957,1.1,1.893,2.465,5.12,2.639,1.789,2.666,2.512,1.539,3.438,2.357,3.397,4.301,1.767,1.758,4.234,3.754,5.016,3.617,1.552,3.911,1.975,4.867,2.234,3.455,1.141,2.272,2.661,2.002,3.555,2.051,1.533,2.738,3.526,3.91,1.289,2.971,1.466,2.675,1.102,1.637,1.428,2.24,3.201,1.052,1.739,1.408,1.713,2.386,1.278,1.294,1.069,1.143,0.947,2.634,3.355,4.536,2.067,2.029,2.838,1.582,3.974,3.572,4.016,4.098,1.598,1.411,2.053,1.542,3.053,1.927,3.147,1.172,2.368,1.002,2.169,2.647,1.919,2.416,3.373,1.965,3.934,1.73,1.48,1.188,2.171,1.776,2.259,3.439,3.87,3.704,2.231,3.532,1.629,2.828,1.791,4.837,1.367,2.742,4.608,3.396,4.243,5.098,3.134,2.806,4.025,3.853,2.912,4.606,0.843,2.339,3.17,2.126,2.305,1.301,2.794,5.056,2.228,3.172,2.783,4.382,3.865,3.941,1.294,2.301,2.279,2.668
ENSG00000178947,0.187,2.404,3.251,1.05,2.272,1.706,2.216,2.299,1.087,1.774,2.13,3.214,3.313,3.995,3.526,3.153,3.383,3.104,3.904,3.2,1.64,2.064,3.573,3.18,2.284,3.122,4.001,0.933,1.793,1.517,3.797,0.929,2.121,2.575,2.603,0.258,2.241,2.778,1.46,1.056,2.498,2.6,3.062,2.22,1.263,2.376,3.187,5.019,0.762,2.805,2.023,2.896,0.757,3.929,2.987,2.546,1.803,3.071,2.441,2.999,1.264,2.131,1.342,1.132,2.297,1.97,0.883,2.341,1.962,1.006,2.074,1.176,3.403,3.017,1.415,1.065,1.972,0.85,3.089,4.24,1.578,3.541,3.672,3.339,1.401,1.425,2.779,1.949,3.613,2.05,2.848,3.998,1.894,2.831,1.879,3.538,2.06,2.211,3.256,1.829,2.91,1.273,1.398,2.815,3.151,3.88,2.648,1.954,3.228,1.466,1.933,2.136,2.772,1.208,3.033,1.029,2.022,3.388,1.688,1.676,3.534,1.736,1.226,2,4.15,2.043,1.658,1.808,4.288,3.722,2.776,2.054
ENSG00000203706,4.007,1.926,3.114,3.955,2.366,1.916,3.148,2.734,1.341,2.807,2.047,2.839,3.064,0.837,3.469,1.485,3.255,4.55,2.669,0.967,4.774,4.123,3.387,3.307,1.979,3.313,2.74,5.203,1.876,5.5,1.106,3.348,3.633,2.155,3.543,0.407,2.098,2.761,3.553,4.089,4.241,4.424,1.791,3.509,1.687,2.144,0.773,1.969,2.083,1.245,2.346,1.616,1.703,2.754,1.837,1.53,2.449,2.277,2.92,2.483,4.497,4.55,4.559,4.477,4.335,2.276,4.191,3.872,3.97,4.362,2.155,2.409,3.242,2.195,3.464,2.919,4.122,2.994,5.036,1.687,3.049,2.802,1.888,3.972,4.159,3.465,3.304,0.565,2.119,1.76,3.204,1.563,3.244,2.947,3.476,3.24,3.01,3.959,1.745,3.86,3.579,4.629,3.505,2.049,4.378,3.365,2.952,4.418,1.358,4.04,4.947,4.638,2.406,2.838,1.595,4.206,2.408,2.019,2.863,1.99,4.771,5.042,4.697,3.969,2.176,4.36,3.609,4.263,2.825,2.774,1.466,4.088
ENSG00000204528,0.831,1.773,1.218,2.845,3.72,2.17,1.893,1.653,0.559,3.209,0.455,1.965,0.635,0.227,2.12,0.215,3.06,1.943,1.37,1.959,1.813,3.272,2.624,3.28,2.6,2.836,0.845,2.524,2.997,4.79,1.023,1.696,0.903,2.042,2.131,1.297,2.101,1.05,1.906,3.995,3.34,1.595,2.219,1.16,0.701,0.141,0.39,0.546,0.412,1.326,2.242,1.494,0.862,2.179,2.375,0.334,0.84,0.509,1.061,1.37,1.704,2.174,0.846,3.733,1.387,0.451,2.684,0.984,4.156,4.312,0.887,0.881,1.625,0.214,1.901,1.948,2.17,0.728,0.534,0.154,1.827,0.216,0.383,1.859,1.452,1.189,0.595,0,0.221,1.532,3.241,0.307,1.2,2.399,1.084,0.822,0.368,1.638,0.245,1.873,0.071,1.004,2.272,1.503,1.88,1.651,3.189,0.874,0.388,2.484,2.097,2.123,0.437,3.475,0.054,4.334,1.842,0.612,1.407,2.205,1.094,3.013,3.037,2.034,1.2,1.008,1.276,1.342,2.818,1.354,1.845,0.211
ENSG00000211683,1.433,1.904,1.807,1.852,0.536,0.103,1.672,1.359,0.749,3.517,0.879,1.498,1.401,0.956,2.672,0.98,2.901,4.57,2.027,0.678,3.434,3.595,3.489,3.613,2.756,2.346,1.004,5.307,2.615,4.182,1.11,1.298,3.429,1.254,3.312,1.778,1.851,2.733,3.718,3.208,1.325,2.694,2.16,0.902,0.695,1.162,0.125,1.156,2.086,0.756,0.804,2.537,0.615,2.545,1.123,0.561,0.922,1.143,0.652,2.154,5.006,3.416,2.418,2.496,2.574,1.303,1.518,3.265,3.154,2.675,0.984,0.934,2.577,0.438,1.994,1.393,1.509,0.682,3.522,1.02,1.131,3.58,3.83,2.009,3.118,1.193,1.548,0.32,2.042,0.917,1.013,1.287,2.396,3.777,3.481,2.89,1.425,2.536,0.701,2.462,1.407,4.698,1.5,3.124,4.412,3.449,1.78,4.138,1.649,2.689,4.009,2.26,2.406,2.388,0.909,2.858,1.334,1.199,3.276,1.868,3.432,4.986,3.749,2.773,2.682,2.184,2.619,2.976,3.168,3.09,2.074,3.27
ENSG00000212694,2.107,2.392,2.532,1.69,0.645,0.399,1.555,1.555,1.904,2.802,2.122,1.769,1.154,0.724,1.949,1.102,2.911,4.096,1.693,0.611,4.336,3.274,2.466,3.863,2.045,3.067,0.811,4.548,1.128,2.735,0.404,1.33,2.092,1.957,2.589,2.668,1.685,2.645,4.112,2.66,1.395,1.619,1.616,2.102,0.327,0.297,0.653,0.571,2.06,0.453,1.069,0.775,1.375,1.933,0.913,1.018,0.82,0.661,1.203,1.687,3.667,2.972,0.705,2.348,1.694,0.785,2.122,2.711,2.491,2.01,1.157,1.115,2.207,0.802,1.957,1.892,3.04,0.811,2.317,0.309,0.658,2.905,1.508,1.919,2.55,1.972,1.496,0.648,1.721,1.276,1.445,1.128,1.641,3.242,3.147,2.582,1.348,4.072,1.237,1.921,0.893,4.177,0.634,1.849,3.579,1.779,2.656,4.086,1.651,1.953,3.291,3.025,1.177,3.139,1.9,2.332,2.182,1.072,4.117,2.341,3.226,3.465,2.713,3.063,2.383,3.221,3.44,2.235,2.559,1.76,2.407,2.069
ENSG00000213373,0.006,0.1,2.04,0.32,0.022,0.014,1.288,0.404,0.35,0.735,0.143,2.75,0.838,1.83,0.854,0.212,0.867,2.068,1.208,0.35,2.603,1.6,2.571,2.61,3.527,0.165,0.895,3.542,0.513,2.103,1.139,2.558,0.869,0.18,0.752,0.092,0.442,1.627,1.364,1.765,0.152,1.441,0.066,0.174,0.628,0.155,0.007,0.009,0.096,3.282,0,0.36,0.024,0.399,1.569,0.544,0.196,0.166,1.21,0.48,0.708,2.19,0.765,0.227,2.821,0.104,0.68,2.52,2.583,0.766,0.254,0.007,2.727,0.086,2.041,0.236,0.522,0.023,0.458,0.94,0.021,1.673,1.046,1.312,1.568,0.047,0.106,0.019,0.237,0.039,0.427,0.017,1.017,1.408,2.171,2.96,0.243,1.597,0.438,0.747,0.048,0.077,0.544,1.893,3.263,6.423,0.01,3.74,0.17,0.724,1.613,0.495,0.752,0.369,1.621,1.796,0.757,0.551,0.088,0.875,1.438,1.783,2.876,1.222,0.27,1.257,1.136,0.598,2.113,0.175,0.231,1.162
ENSG00000214049,7.026,0.759,0.006,1.32,1.623,3.885,0.046,1.344,0.204,1.532,0.009,0,0.393,0.053,0.009,0,0.02,0.309,0.055,0.008,0.03,0.412,0.006,0,0.014,3.122,2.096,0.215,0.194,0.528,0.007,0.008,0.015,1.179,0.36,2.385,0.076,0.072,0.146,0.018,2.529,1.953,0.089,0.026,0,0.014,0.003,0.003,1.037,0.004,0,0.149,0.709,0.008,0.064,0.01,0.079,0,0.016,1.261,0.021,0.282,0.095,0.187,0.135,0.112,0.188,0.192,3.041,0.975,0.01,0.007,0.039,0.026,4.045,3.096,0.232,0.515,0.099,0,2.538,0.07,0.028,0.007,0.884,0.102,0.123,0,0.092,0.037,0.003,0.016,0,0.507,0.007,0.029,0.013,0.469,0.286,0.209,0.009,0.541,0.048,0.028,0.299,0.059,0.246,0.011,0,0.112,0.023,5.542,0.059,1.308,0.069,0.209,0.778,0.259,0.33,0.035,0.073,0.153,0.014,0.046,0.226,0.008,1.523,1.081,0.002,0.405,0.195,0
ENSG00000214401,1.975,0.731,2.733,1.777,1.474,0.697,2.56,0.663,0.415,2.41,1.003,1.986,2.012,1.235,2.859,1.228,1.3,3.644,1.526,1.107,3.769,1.63,1.594,2.879,1.598,1.288,1.269,2.841,2.426,2.728,2.631,2.271,1.831,0.86,1.26,0.674,0.936,1.144,1.485,2.594,2.213,1.813,0.73,1.56,2.646,3.347,0.452,0.511,1.103,3.346,0.838,1.735,1.758,0.824,2.648,0.763,0.996,1.399,2.528,1.399,2.994,1.747,1.834,4.157,1.568,2.577,2.05,1.604,2.184,1.54,2.191,0.75,1.815,1.873,0.992,2.218,1.282,1.88,3.095,2.523,0.894,3.016,3.113,2.055,1.637,2.418,2.158,1.809,1.694,1.124,3.355,3.16,1.354,2.561,1.482,1.436,4.134,1.132,3.536,1.801,2.07,3.568,1.869,2.45,4.056,4.942,0.755,1.994,2.518,3.585,2.293,1.529,1.162,1.453,0.901,2.311,1.972,1.138,2.044,0.598,3.793,2.439,3.946,1.357,1.35,1.651,1.575,3.819,2.572,3.186,0.891,3.91
ENSG00000215808,0.131,0.143,5.553,0.134,1.794,0.412,0.008,3.19,3.066,3.667,0.056,3.104,3.782,3.538,0.019,4.124,0.038,3.692,0.018,3.051,0,0.011,0,0.187,4.224,3.17,2.004,2.667,0.086,0,4.145,3.053,3.105,2.855,3.174,0.037,0.027,0,2.912,2.554,2.082,3.215,2.889,0.333,0.02,2.287,2.506,3.75,0.018,3.252,3.05,3.429,3.051,3.545,0,1.456,3.799,4.586,0.032,0.246,1.836,2.267,0.29,0.152,2.784,2.443,4.488,0.074,2.546,3.318,2.89,1.592,3.418,2.091,3.599,3.394,3.801,2.673,1.496,0,4.322,1.031,0,0.179,3.913,2.747,3.303,2.578,0.055,2.307,3.4,0,2.767,0,2.905,0,2.772,3.454,3.681,0.066,3.854,3.33,2.267,0.359,0,0,2.697,0.032,0.008,1.943,0,1.848,3.428,0,0.048,3.638,3.531,4.262,0,0.135,2.435,1.809,2.868,0,0,0.006,0,0.037,0.174,0.012,0,3.014
ENSG00000223764,0.391,0.518,0.026,1.298,0.751,0.306,1.338,0.014,0.026,0.898,2.318,0.119,0.291,0.044,0.64,0.023,0.308,1.103,0.027,0.059,0.971,0.095,0.323,1.584,1.138,3.607,0.308,1.461,0.335,2.599,0.016,0.126,0.113,0.098,1.953,2.083,1.617,0.143,0.172,0.052,2.055,1.585,0.004,1.172,0.061,0.068,0.998,0.059,0.014,0.539,0.042,0.115,0.733,0.144,0.005,0.028,0.056,0.039,0.431,0.429,4.275,3.042,0.485,1.531,0.515,0.077,1.522,0.278,0.19,2.498,0,0.281,0.653,0.373,0.779,1.168,2.724,0.434,1.871,0.034,0.018,0.331,0.149,0.387,0.228,2.437,1.627,0.155,0.012,0.059,0.35,0.053,1.267,0.183,0.047,2.379,0.24,0.199,0.109,2.553,0,0.833,0.573,0.748,0.256,0.058,0.28,0.073,0.146,0.86,0.142,3.856,0.078,3.144,2.309,0.938,0.527,0.033,3.584,0.246,0.54,3.823,2.238,0.637,0.035,0.522,0.279,2.558,1.842,0.117,0.14,0.524
ENSG00000223914,0.037,4.886,6.032,4.607,0.353,3.844,5.159,6.1,5.026,2.708,0.317,4.54,6.117,3.779,5.549,3.121,5.663,3.332,5.199,4.02,3.218,4.498,4.669,4.593,4.1,3.778,4.525,2.416,2.673,3.048,3.847,1.894,2.616,4.477,5.249,0,2.623,5.688,4.785,4.165,5.376,4.834,3.122,6.158,0.089,2.319,0.057,1.837,0.745,3.14,3.076,3.659,3.395,3.996,5.506,0.048,3.981,4.245,3.674,5.07,1.725,4.35,4.405,4.367,4.451,3.987,5.198,4.355,4.729,5.097,3.614,4.25,5.204,5.387,4.818,4.738,4.332,4.922,2.3,4.368,5.456,1.738,2.724,3.983,4.543,3.851,4.818,4.132,4.668,5.019,5.373,4.839,5.193,2.911,4.257,3.351,2.075,4.748,4.768,5.414,2.809,2.399,3.863,3.405,3.232,4.838,4.994,3.591,5.157,4.368,3.387,3.54,4.072,2.556,0.356,4.434,5.382,5.229,0,1.834,4.313,3.726,5.339,5.412,5.412,4.983,3.27,4.067,2.582,3.494,4.971,3.566
ENSG00000224189,1.178,1.829,0.043,2.151,3.254,3.018,0.133,2.52,3.001,0.676,4.191,1.828,0.659,0.471,0.076,0.208,2.815,1.166,0.039,0.447,1.543,1.647,0.15,1.776,0.479,1.374,1.716,1.24,1.136,1.24,0.063,0.825,1.488,2.827,1.218,1.03,1.085,0.096,2.348,1.963,0.413,0.958,1.604,2.078,1.445,0.123,3.374,0.186,2.882,0.385,0.032,1.09,2.152,1.363,0.78,4.127,2.006,0.034,0.365,0.781,0.112,1.16,2.198,0.3,1.265,1.601,2.582,1.015,1.722,3.295,0.813,0.229,0.112,1.918,2.377,0.138,2.337,1.726,0.968,0.056,2.288,1.597,0.163,0.194,1.817,2.947,1.172,1.637,0.121,1.354,0.161,1.537,2.366,1.393,1.665,2.062,0.398,2.045,0.405,1.331,0.461,0.115,1.169,0.967,1.289,2.038,2.141,0.387,0.17,1.535,0.134,2.306,2.475,1.97,3.596,0.586,0.808,3.501,2.372,1.283,1.429,1.191,1.488,2.039,2.498,1.109,1.247,0.987,1.693,0.289,1.835,1.499
ENSG00000224307,1.63,0.748,0.254,3.045,1.463,0.336,3.158,2.086,0.386,1.581,2.932,1.78,1.015,0.353,2.476,1.366,2.632,1.911,2.721,0.116,2.51,2.967,0.558,0.638,1.49,1.761,3.238,2.142,0.753,2.668,1.256,1.947,2.453,2.113,0.988,0.359,2.303,2.114,2.913,1.985,1.995,0.878,1.329,0.32,0.483,0.823,1.805,1.365,0.615,0.771,0.109,1.274,2.046,0.323,1.591,0.796,2.22,0.889,0.696,2.028,0.465,1.416,1.478,0.995,1.908,1.182,3.675,2.04,1.259,2.735,0.52,2.627,1.874,1.227,2.777,3.286,0.111,2.692,2.337,0.696,0.53,1.062,0.301,2.212,2.327,2.69,0.194,1.255,2.324,2.246,0.207,1.358,0.843,1.437,1.076,0.498,2.697,4.006,0.114,2.832,1.149,3.202,2.624,2.135,1.238,0.707,2.22,1.685,0.059,2.36,1.807,0.534,1.189,1.51,0.372,2.486,1.559,0.836,3.509,1.778,2.688,0.752,2.323,2.844,1.447,3.227,0.279,2.954,0.556,2.208,1.57,3.248
ENSG00000224318,0.045,2.573,2.843,2.47,0.223,0,2.733,0.042,2.579,3.201,1.431,3.734,2.433,1.788,4.325,1.828,4.083,3.74,2.107,1.161,4.141,3.02,4.285,4.795,0,5.012,3.022,2.87,1.247,3.964,2.036,3.038,3.937,0.535,4.036,0,0.807,3.923,2.594,3.519,4.207,4.035,0.767,1.761,0,3.763,0.68,2.558,0.203,0.036,1.598,1.938,0.843,0.908,1.065,0.844,0.51,1.983,1.358,2.869,3.062,2.752,3.692,4.345,2.537,2.637,3.01,2.88,1.975,3.334,1.793,0.07,4.473,1.703,1.682,2.219,3.357,2.788,4.926,3.019,1.205,3.23,2.525,4.054,2.903,1.99,4.755,0.119,3.166,1.8,4.578,0.327,2.333,3.92,4.238,1.255,1.003,1.015,1.879,2.873,1.264,3.462,3.191,3.455,5.413,5.027,1.643,3.462,0.093,3.169,3.278,4.224,0.036,3.264,0.742,3.535,3.954,2.22,1.597,0.26,5.055,4.197,3.728,2.543,3.57,3.05,3.091,4.213,0.875,2.229,0,4.071
